price,number_of_rooms,size_of_the_apartment,floor_number,address,description
210.0,2,38.0,2,Poznań Łazarz ul. Łukaszewicza, drugie piÄ™tro 
275.0,3,53.0,1,Poznań Winogrady ul. Oś. Zwycięstwa 26,
178.0,1,26.0,2,Poznań Nowe Miasto ul. Śródka, drugie piÄ™tro 
504.0,3,80.27,1,Poznań Jeżyce ul. Szamotulska,
229.0,2,38.0,11,Poznań Poznań-Stare Miasto ul. Os. Przyjaźni,
295.0,2,48.0,1,Poznań Łazarz,
340.0,2,45.0,4,Poznań Winogrady ul. Pod Lipami,
346.27,2,55.85,4,Poznań Winogrady ul. Hawelańska Lechicka,
210.0,1,40.7,2,Poznań Grunwald ul. Grochowska 46, drugie piÄ™tro 
375.0,2,62.0,1,Poznań Winogrady Piątkowo Sołacz Naramowice ul. Czapla,
299.0,3,45.0,4,Poznań Grunwald ul. Bukowska 132,
265.0,2,50.0,4,Poznań Wilda ul. Chłapowskiego,
397.0,3,91.0,2,Poznań Wilda ul. Fabryczna, drugie piÄ™tro 
450.0,4,124.0,3,Poznań Grunwald Łazarz ul. Skryta Matejki, trzecie
279.0,2,45.41,1,Poznań Nowe Miasto ul. Karpia,
235.0,2,48.8,5,Poznań Nowe Miasto ul. 2 Ładne Pokoje W Mdm !,
359.0,3,58.0,1,Poznań Poznań-Grunwald ul. Grunwaldzka,
276.36400000000003,3,48.4,1,Poznań Nowe Miasto ul. Smolna 13 D,
450.0,3,68.9,1,Poznań Naramowice ul. Błażeja,
290.0,2,49.0,1,Poznań Śródka,
239.0,2,46.0,1,Poznań Stare Miasto ul. Os. Łokietka,
333.06,3,54.6,4,Poznań ul. Umultowska,
319.0,2,46.0,1,Poznań Rataje Nowe Miasto Malta ul. Bliźniąt,
277.0,2,46.1,3,Poznań Naramowice Piątkowo Winogrady ul. Sielawy, trzecie
381.457,4,69.23,1,Poznań Nowe Miasto ul. Smolna 13 D,
326.43,2,47.0,1,Poznań Stare Miasto Centrum ul. Strzelecka Półwiejska,
550.0,2,60.0,1,Poznań Grunwald/Łazarz ul. Wojskowa,
246.0,2,37.0,10,Poznań Bonin,
225.0,2,42.2,11,Poznań Grunwald Górczyn ul. Galileusza,
210.0,2,50.0,2,Poznań Ogrody Jeżyce ul. Szamotulska, drugie piÄ™tro 
235.582,2,38.62,3,Poznań Winogrady ul. Hawelańska, trzecie
350.0,2,56.6,1,Poznań Grunwald,
143.0,1,18.0,9,Poznań Jeżyce Winiary Winogrady ul. Turkusowa,
340.0,3,65.0,2,Poznań Winogrady ul. Os. Kosmonautów, drugie piÄ™tro 
225.0,2,49.0,1,Poznań Grunwald Łazarz ul. Stablewskiego Potockiej,
230.0,2,50.0,7,Poznań Rataje Centrum Jeżyce Łazarz ul. Piastowskie Os.,
385.0,2,46.0,3,Poznań Nowe Miasto ul. Katowicka Nowy Luks. Apartamentowiec, trzecie
169.0,2,40.0,1,Poznań Wilda ul. 28 Czerwca 1956r. Kosińskiego Mdm,
456.87199999999996,3,71.7,4,Poznań Grunwald ul. Kamiennogórska,
245.0,2,42.9,10,Poznań Rataje ul. Czecha,
355.0,3,79.0,11,Poznań Nowe Miasto ul. 3 Pokoje Słoneczne Os.Orła Białego,
235.0,2,40.0,1,Poznań Wilda,
340.0,1,74.0,2,Poznań Poznań ul. Sobieskiego, drugie piÄ™tro 
169.0,2,26.0,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki,
385.0,4,90.0,1,Poznań ul. Dębowa,
340.0,2,45.0,4,Poznań Naramowice ul. Naramowicka,
173.0,1,32.0,1,Poznań Grunwald Górczyn Łazarz Centrum Ogrody ul. Keplera - Polecam!!!,
279.0,4,64.0,7,Poznań Os. Kopernika ul. Galileusza,
220.955,2,37.45,1,Poznań ul. Karpia 25,
229.0,1,35.09,3,Poznań Stare Miasto Winogrady, trzecie
270.108,2,44.28,2,Poznań Winogrady ul. Hawelańska, drugie piÄ™tro 
322.558,3,56.49,3,Poznań Nowe Miasto ul. Smolna 13 D, trzecie
180.0,1,27.0,8,Poznań Winogrady Piątkowo Sołacz ul. Kosmonautów,
348.0,2,54.8,3,Poznań Piątkowo, trzecie
339.0,3,73.0,5,Poznań Grunwald,
353.88199999999995,3,59.98,1,Poznań Grunwald ul. Barwicka 14,
282.56,2,44.15,7,Poznań Winogrady ul. Hawelańska,
465.0,4,90.0,1,Poznań Górczyn ul. Ostrobramska,
365.0,2,61.36,1,Poznań Łazarz ul. Po Kapitalnym Remoncie,
250.0,2,49.0,3,Poznań Winogrady ul. Piątkowska, trzecie
320.0,2,46.0,2,Poznań Winogrady ul. Żniwna - Modernistyczny Budynek !!!, drugie piÄ™tro 
225.0,2,37.4,2,Poznań Grunwald ul. Bułgarska, drugie piÄ™tro 
155.0,1,53.0,1,Poznań ul. Czerwonak/Owińska Mdm,
201.562,1,32.51,4,Poznań Winogrady ul. Hawelańska,
250.0,2,47.2,8,Poznań Bonin ul. Lazurowa,
233.0,2,42.0,3,Poznań Jerzyce ul. Koronna, trzecie
220.0,2,38.0,3,Poznań Grunwald ul. Marcelińska/Bułgarska, trzecie
210.0,2,44.0,2,Poznań Rataje ul. Os. Bohaterów Ii Wojny Światowej, drugie piÄ™tro 
289.0,3,62.6,1,Poznań Rataje ul. Os. Przemysława,
189.0,1,30.0,1,Poznań Górczyn Grunwald Łazarz Jeżyce ul. Krauthofera,
160.0,1,29.0,1,Poznań Łazarz ul. Łukaszewicza,
326.073,3,53.02,1,Poznań Winogrady ul. Hawelańska,
259.0,4,66.6,8,Poznań Grunwald ul. Newtona,
375.0,4,95.0,3,Poznań Łazarz, trzecie
310.20799999999997,2,48.47,7,Poznań Piątkowo ul. Kurpińskiego,
415.0,3,76.4,1,Poznań Jeżyce Strzeszyn ul. Horacego,
190.0,2,43.0,1,Poznań Starołęka ul. Głuszyna,
246.326,2,39.73,4,Poznań Winogrady ul. Hawelańska,
184.0,1,35.0,1,Poznań ul. Kasprzaka Łazarz Głogowska,
245.877,2,39.98,5,Poznań Winogrady ul. Hawelańska,
172.0,1,30.0,8,Poznań Rataje,
427.0,2,51.0,1,Poznań Nowe Miasto Rataje Malta Polanka ul. Milczańska Taras I Loggia!!! Nowość!,
719.556,4,98.3,1,Poznań ul. Droga Dębińska 19,
188.5,1,29.0,1,Poznań Grunwald ul. Matejki,
1140.0,6,193.0,1,Poznań Naramowice ul. Błażeja,
199.0,1,25.04,4,Poznan Centrum ul. Topolowa,
255.824,2,43.36,1,Poznań Grunwald ul. Barwicka,
280.0,2,69.0,3,Poznań Wilda ul. Traugutta, trzecie
250.0,2,49.7,3,Poznań Grunwald, trzecie
276.0,3,53.0,3,Poznań Winogrady ul. Osiedle Kosmonautów, trzecie
399.0,3,60.7,2,Poznań Jeżyce Winiary ul. Tadeusza Rejtana, drugie piÄ™tro 
236.16,2,38.4,5,Poznań Winogrady ul. Hawelańska,
369.0,2,56.3,1,Poznań Stare Miasto Centrum Wilda,
450.0,5,130.0,1,Poznań Wilda Dębiec Centrum ul. Rejon Ul. Rolnej,
245.0,3,48.0,3,Poznań Grunwald ul. Ul.Bułgarska, trzecie
900.0,5,154.3,4,Poznań Centrum ul. Łąkowa,
415.0,2,64.6,1,Poznań Rataje ul. Św. Rocha,
650.0,4,92.5,1,Poznań Grunwald ul. Nehringa,
300.695,3,47.19,3,Poznań Naramowice ul. Maków Polnych, trzecie
409.0,3,109.7,3,Poznań Jeżyce ul. Poznańska, trzecie
216.0,2,36.7,10,Poznań Bonin ul. Turkusowa Z Garażem,
599.0,4,147.0,1,Poznań Grunwald ul. Opalenicka Marcelińska,
217.40400000000002,2,35.64,1,Poznań Stare Miasto ul. Winogrady Naramowice,
281.556,2,42.66,8,Poznań Piątkowo ul. Kurpińskiego,
220.0,2,34.0,1,Poznań Winogrady ul. Zbożowa,
363.13300000000004,3,59.53,6,Poznań Piątkowo ul. Kurpińskiego,
223.452,2,37.18,5,Poznań Nowe Miasto ul. Smolna 13 D,
245.7,3,58.5,2,Poznań ul. Mostowa, drugie piÄ™tro 
269.0,2,45.0,3,Poznań Jeżyce ul. Mylna, trzecie
248.09099999999998,2,40.34,3,Poznań Winogrady ul. Hawelańska, trzecie
308.066,3,50.92,4,Poznań Winogrady ul. Hawelańska,
323.357,3,56.36,1,Poznań Nowe Miasto ul. Smolna 13 D,
385.0,3,95.77,3,Poznań Stare Miasto Centrum ul. Krakowska, trzecie
323.983,1,44.26,3,Poznań ul. Droga Dębińska 19, trzecie
469.0,4,92.0,2,Poznań Różany Potok ul. Drewsa, drugie piÄ™tro 
274.9,2,49.0,11,Poznań Piątkowo ul. Os. Sobieskiego,
400.0,3,69.0,4,Poznań Rataje ul. Os. Rusa,
370.0,3,72.0,4,Poznań Jeżyce ul. Mylna,
269.0,2,45.0,8,Poznań Rataje Starołęka Warszawskie Chartowo Śró ul. Tysiąclecia,
159.0,2,35.0,1,Poznań Zawady,
334.57300000000004,4,72.93,1,Poznań Plewiska Luboń Dąbrówka Komorniki Grunwald ul. Szkolna 107,
289.0,3,66.3,1,Poznań Grunwald Łazarz ul. Józefa Chociszewskiego,
239.0,2,47.0,9,Poznań Winiary ul. Os.Zwycięstwa,
516.101,3,77.03,6,Poznań Jeżyce ul. Botaniczna,
245.0,2,46.0,2,Poznań Podolany ul. 2 Pokoje Cicha Okolica ( Jezioro! ), drugie piÄ™tro 
531.544,2,45.47,2,Poznań Stare Miasto ul. Dominikańska, drugie piÄ™tro 
409.0,3,93.0,1,Poznań Wilda ul. Wilda/ Wierzbięcice / Czajcza/Św.Jerzego,
299.0,3,59.1,1,Poznań Piątkowo ul. Os. Łokietka,
195.5,1,33.5,1,Poznań Grunwald Łazarz ul. Kanałowa,
399.0,2,66.7,2,Poznań Jeżyce ul. Dąbrowskiego, drugie piÄ™tro 
182.247,1,37.6,2,Poznań Grunwald ul. Promienista, drugie piÄ™tro 
309.0,3,59.0,4,Poznań Nowe Miasto,
315.0,3,79.0,8,Poznań Rataje ul. Os. Orła Białego,
195.0,2,38.3,2,Poznań Winogrady ul. Os. Pod Lipami, drugie piÄ™tro 
220.0,2,38.0,3,Poznań Grunwald ul. Bułgarska, trzecie
232.0,1,33.9,1,Poznań Wilda ul. Górna Wilda,
499.0,2,60.0,7,Poznań Rataje ul. Os. Piastowskie,
585.0,3,88.0,1,Poznań Stare Miasto ul. Kwiatowa,
470.0,4,69.0,3,Poznań Naramowice ul. Karpia, trzecie
250.0,2,49.7,3,Poznań Grunwald Grunwald Południe ul. Chociszewskiego, trzecie
227.949,2,38.57,1,Poznań Nowe Miasto ul. Smolna 13 D,
215.0,2,46.0,1,Poznań Łazarz,
615.0,3,103.0,4,Poznań Jeżyce ul. Dąbrowskiego,
279.79,1,39.97,4,Poznań Jeżyce ul. Poznańska 1-3,
236.6,1,36.0,2,Poznań Jeżyce, drugie piÄ™tro 
224.0,2,38.0,8,Poznań ul. Os. Kosmonautów,
255.0,2,42.9,10,Poznań Rataje ul. Czecha,
470.0,3,69.0,3,Poznań Naramowice ul. Karpia, trzecie
310.0,3,64.0,8,Poznań Rataje ul. Os. Orła Białego,
280.0,2,44.5,1,Poznań Górczyn,
324.9,4,74.0,3,Poznań Piątkowo ul. Os.Bolesława Chrobrego, trzecie
299.0,2,43.1,1,Poznań Grunwald ul. Wyspiańskiego,
328.842,3,57.19,1,Poznań ul. Karpia 25,
379.5,2,63.25,4,Poznań Piątkowo ul. Kurpińskiego,
360.0,3,109.5,4,Poznań Jeżyce Centrum ul. Jackowskiego Kraszewskiego,
274.0,2,55.8,2,Poznań Centrum ul. Kościuszki, drugie piÄ™tro 
311.76599999999996,3,54.6,2,Poznań Nowe Miasto ul. Smolna 13 D, drugie piÄ™tro 
250.0,2,50.0,3,Poznań Grunwald ul. Chociszewskiego, trzecie
320.0,3,76.0,1,Poznań Grunwald ul. Dopłata W Mdm,
341.24800000000005,2,55.04,1,Poznań Winogrady ul. Hawelańska,
259.997,2,44.52,1,Poznań Piątkowo ul. Mateckiego 4c Miejsce Parkingowe W Cenie,
351.0,2,62.5,2,Poznań Poznań-Grunwald ul. Jana Matejki, drugie piÄ™tro 
150.0,2,40.0,1,Poznań Jeżyce ul. Grudzieniec,
220.0,1,30.0,2,Poznań Górczyn ul. Hetmańska / Głogowska, drugie piÄ™tro 
231.35299999999998,2,48.22,4,Poznań ul. Grudzińskiego 7 Swarzędz,
420.0,5,91.0,4,Poznań Jeżyce Centrum ul. Kraszewskiego,
206.205,1,34.95,1,Poznań Winogrady ul. Hawelańska,
265.0,3,47.0,3,Poznań Rataje ul. Os. Armii Krajowej, trzecie
389.0,3,60.0,2,Poznań Poznań-Grunwald ul. Jana Matejki, drugie piÄ™tro 
149.0,1,21.0,5,Poznań ul. Szpitalna,
238.0,2,40.0,3,Poznań Łazarz ul. Łukaszewicza, trzecie
265.0,2,50.0,1,Poznań Grunwald ul. Newtona,
239.0,2,47.0,4,Poznań ul. Łokietka Osiedle,
183.0,1,37.0,2,Poznań Grunwals ul. Raszyńska, drugie piÄ™tro 
255.0,2,42.42,10,Poznań Nowe Miasto ul. Os. Czecha,
279.0,2,43.5,1,Poznań Grunwald ul. Raszyńska,
235.0,2,53.2,1,Poznań Grunwald ul. Husarska Grochowska,
299.0,4,73.78,1,Poznań Grunwald ul. Plewiska Ul. Fabianowska 77,
305.361,2,48.47,3,Poznań Piątkowo ul. Kurpińskiego, trzecie
185.0,1,35.0,1,Poznań Rataje Śródka Zawady Malta ul. Tomickiego,
269.07,2,44.92,3,Poznań Jeżyce Grunwald Stare Miasto ul. Jackowskiego 27, trzecie
355.0,4,74.0,3,Poznań ul. Os. Bolesława Chrobrego, trzecie
230.0,2,39.0,6,Poznań Górczyn,
298.0,3,64.0,1,Poznań Grunwald ul. Raszkowska,
264.496,2,43.36,1,Poznań Piątkowo ul. Kurpińskiego,
220.0,2,47.0,1,Poznań Grunwald ul. Łazarz Hetmańska,
690.0,5,138.0,1,Poznań Rataje ul. Rataje Centrum Serafitek Św. Rocha,
279.0,2,49.8,1,Poznań Poznań-Stare Miasto ul. Garbary,
263.0,3,44.0,1,Poznań Grunwald,
284.684,2,47.6,5,Poznań Winogrady ul. Wilczak 20,
230.0,2,41.2,2,Poznań Grunwald ul. Hetmańska, drugie piÄ™tro 
218.46599999999998,2,36.11,4,Poznań Winogrady ul. Hawelańska,
350.0,4,75.76,10,Poznań Nowe Miasto ul. Stare Żegrze,
306.0,1,45.69,5,Poznań Wilda Dębiec Centrum ul. Przemysłowa,
480.0,3,66.0,1,Poznań ul. 23 Lutego,
210.0,3,49.0,4,Poznań Grunwald ul. Bułgarska,
344.0,3,62.0,1,Poznań Wilda Centrum Dęciec ul. Powstańcza,
99.0,1,22.76,1,Poznań Golęcin ul. Szydłowska 41,
340.0,4,70.8,4,Poznań Łazarz,
312.682,2,51.7,1,Poznań Grunwald ul. Kamiennogórska,
209.0,3,43.0,5,Poznań Raszyn,
365.0,3,66.0,1,Poznań Szczepankowo ul. Roślinna,
399.0,4,85.25,4,Poznań Wilda Wilda ul. Św. Jerzego,
239.0,2,42.0,2,Poznań Jeżyce Sołacz Centrum Winogrady Ogrody ul. Dąbrowskiego - Niski Blok!!!, drugie piÄ™tro 
274.0,3,77.0,16,Poznań Rataje Śródka Centrum Wilda Łazarz Zawady ul. Armii Krajowej - Okazja!!! Tylko U Nas!!!,
590.0,3,73.8,1,Poznań Rataje ul. Szczytnicka,
165.0,1,29.0,1,Poznań Łazarz ul. Łukaszewicza,
265.0,3,47.0,2,Poznań Rataje Zawady Debiec Centrum ul. Powstań Narodowych Os., drugie piÄ™tro 
315.0,2,75.0,3,Poznań Grunwald Łazarz ul. Hetmańska Głogowska Jarochowskiego, trzecie
600.0,3,60.0,1,Poznań Chwaliszewo,
350.0,2,92.0,1,Poznań Plewiska ul. Półncona,
150.0,1,29.0,1,Poznań Jeżyce ul. Jana Henryka Dąbrowskiego 71,
239.0,2,42.0,2,Poznań Rataje ul. Os. Lecha, drugie piÄ™tro 
324.0,3,68.0,6,Poznań Grunwald ul. Hetmańska,
275.0,3,64.0,2,Poznań Rataje ul. Stare Żegrze, drugie piÄ™tro 
335.0,3,71.0,11,Poznań Piątkowo ul. Os. Bolesława Chrobrego,
259.0,2,49.0,8,Poznań Piątkowo ul. Osiedle Bolesława Śmiałego,
230.0,3,42.4,3,Poznań Jeżyce ul. Mylna, trzecie
200.0,1,29.0,2,Poznań Grunwald, drugie piÄ™tro 
310.0,3,65.0,4,Poznań Piątkowo ul. Os. Wichrowe Wzgórze,
325.0,3,61.0,3,Poznań Ogrody, trzecie
225.0,2,42.2,10,Poznań Grunwald Os. Kopernika ul. Newtona,
249.99900000000002,3,54.0,1,Plewiska Rosnowo Komorniki Poznań Rosnowo,
279.0,3,64.0,7,Poznań Rataje ul. Os. Orła Białego,
438.691,3,77.4,2,Poznań Grunwald ul. Kamiennogórska, drugie piÄ™tro 
340.0,3,65.0,2,Poznań Winogrady ul. Kosmonautów, drugie piÄ™tro 
257.76599999999996,2,43.0,3,Poznań Stare Miasto Winogrady Wilczak ul. Hawelańska Serbska Wilczak, trzecie
431.865,3,68.55,2,Poznań Nowe Miasto ul. Milczańska, drugie piÄ™tro 
399.0,4,86.0,2,Poznań Nowe Miasto ul. Ziemowita, drugie piÄ™tro 
329.999,4,74.96,1,Poznań Grunwald Junikowo,
300.0,3,73.4,2,Poznań Grunwald ul. Hetmańska, drugie piÄ™tro 
390.0,4,130.0,1,Poznań Wilda ul. 28 Czerwca,
219.99900000000002,3,47.0,1,Plewiska Rosnowo Komorniki Poznań,
259.0,2,98.96,1,Poznań Wilda ul. Czwartaków,
299.0,2,49.0,2,Poznań Naramowice, drugie piÄ™tro 
190.0,1,37.5,1,Poznań Grunwald Plewiska ul. Szałwiowa,
379.0,3,74.0,1,Poznań Ogrody Centrum Jeżyce Grunwald ul. 2 Poziomowy Apartament Z Ogródkiem,
230.0,2,53.86,1,Poznań Wilda ul. Rolna,
217.03,2,39.46,1,Poznań Wilda ul. Rolna 37 I 39,
214.0,2,38.0,1,Poznań Winogrady Piątkowo Sołacz ul. Przyjaźni Os.,
150.0,1,27.0,1,Poznań Poznań-Wilda,
222.0,2,38.0,1,Poznań Winogrady Piątkowo Sołacz Centrum Naramow ul. Kosmonautów - Po Remoncie!!!,
240.0,2,39.0,2,Poznań Wilda Dębiec ul. Czeremchowa, drugie piÄ™tro 
185.0,2,49.8,1,Poznań Starołęka ul. Głuszyna,
264.0,2,48.27,3,Poznań Naramowice, trzecie
577.0,2,57.0,3,Poznań Grunwald ul. Wojskowa Aleja Kasztanowa City Park Grun, trzecie
333.06,2,79.3,2,Poznań Centrum ul. Mostowa, drugie piÄ™tro 
309.0,3,69.5,4,Poznań Grunwald ul. Raszkowska,
199.0,2,29.0,3,Poznań Grunwald Jeżyce Górczyn Ogrody Raszyn ul. Bukowska, trzecie
285.0,3,48.0,2,Poznań Winogrady Winiary Piatkowo Sołacz ul. Przyjaźni, drugie piÄ™tro 
350.0,3,64.0,1,Poznań ul. Zbyłowita,
230.0,1,33.17,1,Poznań Stare Miasto Święty Marcin ul. Święty Marcin,
349.566,3,61.22,1,Poznań Nowe Miasto ul. Smolna 13 D,
443.33099999999996,3,70.37,5,Poznań Jeżyce ul. Botaniczna,
318.0,3,67.0,10,Poznań Rataje ul. Stare Żegrze,
375.0,2,60.0,1,Poznań Winogrady ul. Serbska / Naramowicka 47,
268.45,2,45.5,1,Poznań Winogrady ul. Hawelańska,
200.0,2,38.0,5,Poznań Rataje,
320.0,3,62.0,3,Poznań ul. Jana Iii Sobieskiego, trzecie
173.3,1,31.5,3,Poznań Grunwald ul. Kanałowa Kolejowa Graniczna, trzecie
